Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price
۱۱۰٬۰۰۰,1394,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی
۲۴٬۵۰۰,1400,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی
۲۶۵٬۰۰۰,1384,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,دنده‌ای,نقدی
۲۶٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی
۱۷۰٬۰۰۰,2010,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۷۵٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی
۱۶٬۰۰۰,1396,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۱۵۴٬۰۰۰,1386,خاکستری,سالم,سالم و پلمپ,رنگ‌شدگی,۷ ماه,دنده‌ای,نقدی
۶۰٬۰۰۰,1394,سفید,سالم,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,توافقی
۹۵٬۰۰۰,1394,نوک‌مدادی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,۲۹۰٬۰۰۰٬۰۰۰ تومان
۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۱۹۰٬۰۰۰,1381,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی
۲۳۰٬۰۰۰,1384,بژ,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی
۱۳۲٬۰۰۰,1390,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۷۵٬۰۰۰,2012,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۹۲٬۰۰۰,2014,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
