Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price,Block
۶۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۲۷۵٬۰۰۰٬۰۰۰ تومان
۲۴۱٬۰۰۰,1390,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,۱۷۰٬۰۰۰٬۰۰۰ تومان
۰,1401,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۱۶۵٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,قسطی,۱۰۹٬۰۰۰٬۰۰۰ تومان
۱۴۶٬۰۰۰,1397,سفید,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی
۱۷۰٬۰۰۰,2012,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,اتوماتیک,نقدی و قسطی,۱٬۱۸۰٬۰۰۰٬۰۰۰ تومان
۱۶۵٬۰۰۰,1387,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۴۹۵٬۰۰۰٬۰۰۰ تومان
۴۶٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی,۲۳۶٬۰۰۰٬۰۰۰ تومان
۸٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۳۴۸٬۰۰۰٬۰۰۰ تومان
۱۵۱٬۰۰۰,1396,سفید,نیاز به تعمیر,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۱۵۰٬۰۰۰,2014,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,اتوماتیک,نقدی و قسطی,۱٬۳۸۰٬۰۰۰٬۰۰۰ تومان
۳۴۰٬۰۰۰,1384,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی و قسطی,۱۴۰٬۰۰۰٬۰۰۰ تومان
۲۷۰٬۰۰۰,1388,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۱۰ ماه,دنده‌ای,نقدی,۱۶۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,دنده‌ای,نقدی,۲۱۰٬۰۰۰٬۰۰۰ تومان
۱۵,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی,توافقی
۱۸۰٬۰۰۰,1388,خاکستری,سالم,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,۳ ماه,دنده‌ای,نقدی
